category,subcategory,model,color,energy_rating,source_page,source,features,raw_text,width_mm,depth_mm,height_mm,install_width_mm,install_depth_mm,install_height_mm,spec_potencia_W,spec_peso_kg,spec_capacidad_bruta_L,spec_capacidad_util_L,spec_capacidad_util_total_L,spec_refrigerador_L,spec_freezer_L,spec_congelador_L,spec_capacidad_kg,spec_programas,spec_rpm,spec_capacidad_secado_kg,spec_cubiertos,spec_extraccion_m3h,spec_ruido_dB,spec_diametro_plato_mm
Televisores,LED Smart TV,TVJ LED S32 T2ELN,,,3,CATALOGO-JAMES-v_3.pdf,HD (1366 x 768 px) | 3 entradas HDMI 1.4 | 2 entradas USB 2.0,Modelo TVJ LED S32 T2ELN · HD (1366 x 768 px). · 3 entradas HDMI 1.4. · 2 entradas USB 2.0. · Dimensiones: ancho x profundidad x altura con base: 730 x 180 x 480 mm. sin base: 730 x 80 x 435 mm. Distancia entre patas: 615 mm. 32”,730,180,480,,,,,,,,,,,,,,,,,,,
Televisores,LED Smart TV,TVJ LED S55 V2EL,,,3,CATALOGO-JAMES-v_3.pdf,SIN MARCO | ULTRA HD 4K (3840 x 2160 px) | 3 entradas HDMI 2.0 | 2 entradas USB 2.0,Modelo TVJ LED S55 V2EL · SIN MARCO. · ULTRA HD 4K (3840 x 2160 px). · 3 entradas HDMI 2.0. · 2 entradas USB 2.0. · Dimensiones: ancho x profundidad x altura con base: 1230 x 280 x 790 mm. sin base: 1230 x 90 x 710 mm. Distancia entre patas: 980 mm. 55”,1230,280,790,,,,,,,,,,,,,,,,,,,
Televisores,LED Smart TV,TVJ LED S43 T2ELN,,,3,CATALOGO-JAMES-v_3.pdf,SIN MARCO | Full HD (1920 x 1080 px) | 3 entradas HDMI 1.4 | 2 entradas USB 2.0,Modelo TVJ LED S43 T2ELN · SIN MARCO. · Full HD (1920 x 1080 px). · 3 entradas HDMI 1.4. · 2 entradas USB 2.0. · Dimensiones: ancho x profundidad x altura con base: 970 x 280 x 645 mm. sin base: 970 x 80 x 570 mm. Distancia entre patas: 740 mm. 43”,970,280,645,,,,,,,,,,,,,,,,,,,
Televisores,LED Smart TV,TVJ LED S65 V5EL QLED,,,3,CATALOGO-JAMES-v_3.pdf,SIN MARCO | ULTRA HD 4K (3840 x 2160 px) | 3 entradas HDMI 2.0 | 2 entradas USB 2.0,Modelo TVJ LED S65 V5EL QLED · SIN MARCO. · ULTRA HD 4K (3840 x 2160 px). · 3 entradas HDMI 2.0. · 2 entradas USB 2.0 · Dimensiones: ancho x profundidad x altura con base: 1450 x 235 x 870 mm. sin base: 1450 x 80 x 835 mm. Distancia entre patas: 1025 mm. 65”,1450,235,870,,,,,,,,,,,,,,,,,,,
Televisores,LED Smart TV,TVJ LED S50 V5EL QLED,,,3,CATALOGO-JAMES-v_3.pdf,SIN MARCO | ULTRA HD 4K (3840 x 2160 px) | 3 entradas HDMI 2.0 | 2 entradas USB 2.0,Modelo TVJ LED S50 V5EL QLED · SIN MARCO. · ULTRA HD 4K (3840 x 2160 px). · 3 entradas HDMI 2.0. · 2 entradas USB 2.0. · Dimensiones: ancho x profundidad x altura con base: 1110 x 260 x 680 mm. sin base: 1110 x 75 x 640 mm. Distancia entre patas: 1000 mm. 50”,1110,260,680,,,,,,,,,,,,,,,,,,,
Televisores,LED Smart TV,TVJ LED S75 V5ELN,,,3,CATALOGO-JAMES-v_3.pdf,SIN MARCO | ULTRA HD 4K (3840 x 2160 px) | 3 entradas HDMI 2.0 | 2 entradas USB 2.0,Modelo TVJ LED S75 V5ELN · SIN MARCO. · ULTRA HD 4K (3840 x 2160 px). · 3 entradas HDMI 2.0. · 2 entradas USB 2.0. · Dimensiones: ancho x profundidad x altura con base: 1670 x 320 x 1020 mm. sin base: 1670 x 90 x 955 mm. Distancia entre patas: 1500 mm. 75”,1670,320,1020,,,,,,,,,,,,,,,,,,,
Deshumidificadores,,DJ-10 DN,,,5,CATALOGO-JAMES-v_3.pdf,Función Continua | Con ruedas,"Modelo DJ-10 DN · Potencia: 340 W. · Capacidad de recipiente: 2 L. · Función Continua. · Peso: 11,2 kg. · Con ruedas. · Dimensiones: ancho x profundidad x altura 320 x 215 x 420 mm.",320,215,420,,,,340,11.2,,,,,,,,,,,,,,
Deshumidificadores,,DJ-20 DF,,,5,CATALOGO-JAMES-v_3.pdf,"Funciones: Dryer (ambiente seco), Continua, SMD (deshumidificación inteligente) | Timer | Encendido y apagado programable | Con ruedas direccionales","Modelo DJ-20 DF · Potencia: 440 W. · Capacidad de recipiente: 3,5 L. · Funciones: Dryer (ambiente seco), Continua, SMD (deshumidificación inteligente). · Potencia regulable en 3 niveles: LOW, MED, HIGH. · Timer. · Encendido y apagado programable. · Peso: 11,5 kg. · Con ruedas direccionales. · Dimensiones: ancho x profundidad x altura 350 x 245 x 510 mm.",350,245,510,,,,440,11.5,,,,,,,,,,,,,,
Deshumidificadores,,DJ-30 DP,,,5,CATALOGO-JAMES-v_3.pdf,"Funciones: Continua, Confort, Turbo | Timer | Encendido y apagado programable | Con ruedas direccionales","Modelo DJ-30 DP · Potencia: 715 W. · Capacidad de recipiente: 3,5 L. · Funciones: Continua, Confort, Turbo. · Timer. · Encendido y apagado programable. · Peso: 17 kg. · Con ruedas direccionales. · Dimensiones: ancho x profundidad x altura 386 x 260 x 500 mm.",386,260,500,,,,715,17,,,,,,,,,,,,,,
Deshumidificadores,,DJ-50 DP,,,5,CATALOGO-JAMES-v_3.pdf,"Funciones: Continua, Confort, Turbo, Drenado por bomba | Timer | Encendido y apagado programable | Con ruedas direccionales","Modelo DJ-50 DP · Potencia: 1060 W. · Capacidad de recipiente: 6 L. · Funciones: Continua, Confort, Turbo, Drenado por bomba. · Timer. · Encendido y apagado programable. · Peso: 19,8 kg. · Con ruedas direccionales. · Dimensiones: ancho x profundidad x altura 392 x 282 x 616 mm.",392,282,616,,,,1060,19.8,,,,,,,,,,,,,,
